data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_8.csv,36,0.01583509946076934,0.0,0.2245262357446601,57,-28,10,-0.001239877522485352,70,10,-0.001803816548688469
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_2.csv,37,0.0033430086867476646,0.0,0.21570079278007356,362,-53,20,0.0,426,20,0.0
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_26.csv,38,0.01617892526293598,0.0,0.2072222511175235,66,-42,10,-0.0008372360103987589,66,10,-0.0005343566280868549
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_27.csv,39,0.06414844817744941,0.0,0.1990769751226471,24,5,5,-0.001694982272915237,24,5,-0.001694982272915237
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_17.csv,40,0.0037835289036191205,0.0,0.19125186513636735,312,-40,20,1.0064611269143728e-05,450,20,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,41,0.064308646968743,0.0,0.18373433640733572,23,8,5,-0.0005024126121967291,23,5,-0.0005024126121967291
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,42,0.06491788963903082,0.0,0.17651229885247652,25,4,5,-0.005607353147564482,25,5,-0.005607353147564482
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_28.csv,43,0.016955546238744446,0.0,0.16957413761308276,68,-37,10,-0.0007829574929305655,79,10,-0.0017346568750142826
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_15.csv,44,0.016997497965207272,0.0,0.16290869437519245,81,-49,10,-0.002382488491387489,94,10,-0.0016491818453236453
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_0.csv,45,0.06874434057114996,0.0,0.1565052494242043,37,-11,4,0.0,37,4,0.0
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_20.csv,46,0.0032637065414191945,0.0,0.15035350440487172,221,-25,20,0.0,255,20,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_22.csv,47,0.06382485650348547,0.0,0.14444356575894907,26,1,5,-0.0010291215403982793,26,5,-0.0010291215403982793
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_19.csv,48,0.016276645937897943,0.0,0.13876592881385352,56,-33,10,-0.0017198910925536573,69,10,-0.0021360947949373194
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_14.csv,49,0.018498180097106572,0.0,0.13331146249675332,118,-50,10,-7.092964751644645e-05,130,10,-0.00020764477518395733
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_16.csv,50,0.0032267236686596293,0.0,0.12807139464949865,408,-44,20,0.0,412,20,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_26.csv,51,0.0666709869360617,0.0,0.12303729792077779,27,4,5,-0.005596275391323993,27,5,-0.005596275391323993
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_28.csv,52,0.0676294881775664,0.0,0.11820107621280979,30,0,5,-0.006519400673784744,30,5,-0.006519400673784744
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_11.csv,53,0.07040858514954292,0.0,0.11355495166077641,36,-8,5,-0.0004407355984015994,36,5,-0.0004407355984015994
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_25.csv,54,0.016248530702647316,0.0,0.10909145212405287,61,-43,10,1.5320682291780124e-05,65,10,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,55,0.0639553792181076,0.0,0.1048033991691204,24,5,5,-0.002843774725005642,24,5,-0.002843774725005642
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,56,0.06457744288465925,0.0,0.10068389652483367,25,-3,5,-0.0032179630016124163,25,5,-0.0032179630016124163
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_32.csv,57,0.0034957766781335514,0.0,0.09672631899147682,283,-36,20,0.0,366,20,0.0
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_18.csv,58,0.0032939122377349476,0.0,0.09292430178577045,312,-25,20,0.0,413,20,0.0
